CODE,Amper TH,Amper EN,Province TH,Province EN,Lat,Lon
31030000,กระสัง,Krasang,บุรีรัมย์,Buri Ram,14.922685516480243,103.30181131750489
31040000,นางรอง,Nang Rong,บุรีรัมย์,Buri Ram,14.628659876099178,102.79321857378257
31050000,หนองกี่,Nong Ki,บุรีรัมย์,Buri Ram,14.687971500830006,102.533782981046
31060000,ละหานทราย,Lahan Sai,บุรีรัมย์,Buri Ram,14.412240875934273,102.85953186245163
31070000,ประโคนชัย,Prakhon Chai,บุรีรัมย์,Buri Ram,14.605996219998676,103.12109208922702
31080000,บ้านกรวด,Ban Kruat,บุรีรัมย์,Buri Ram,14.421212975910498,103.09915608932359
31090000,พุทไธสง,Phutthaisong,บุรีรัมย์,Buri Ram,15.548980627169799,103.02459955270251
31100000,ลำปลายมาศ,Lam Plai Mat,บุรีรัมย์,Buri Ram,15.02545256706907,102.8386904557498
31110000,สตึก,Satuek,บุรีรัมย์,Buri Ram,15.297501008041099,103.29173801391225
31120000,ปะคำ,Pakham,บุรีรัมย์,Buri Ram,14.438433364901735,102.7255577287262
31130000,นาโพธิ์,Na Pho,บุรีรัมย์,Buri Ram,15.644524040195703,102.95149694224031
31140000,หนองหงส์,Nong Hong,บุรีรัมย์,Buri Ram,14.850283149514205,102.68788452752054
31150000,พลับพลาชัย,Phlapphla Chai,บุรีรัมย์,Buri Ram,14.729983174412647,103.16718820490551
31160000,ห้วยราช,Huai Rat,บุรีรัมย์,Buri Ram,14.960547929416942,103.1889396518237
31170000,โนนสุวรรณ,Non Din Daeng,บุรีรัมย์,Buri Ram,14.57772631782746,102.59897443646797
31180000,ชำนิ,Chamni,บุรีรัมย์,Buri Ram,14.78829249773925,102.8424022553973
31190000,บ้านใหม่ไชยพจน์,Ban Mai Chaiyaphot,บุรีรัมย์,Buri Ram,15.57259421418616,102.8329059046784
31200000,โนนดินแดง,Non Din Daeng,บุรีรัมย์,Buri Ram,14.315894590935404,102.74357430277833
31210000,บ้านด่าน,Ban Dan,บุรีรัมย์,Buri Ram,15.107346939980383,103.17465388810741
31220000,แคนดง,Khaen Dong,บุรีรัมย์,Buri Ram,15.30998728117148,103.12326374152275
31230000,เฉลิมพระเกียรติ,Chaloem Phra Kiet,นครราชสีมา,Nakhon Ratchasima,15.004871756303812,102.27193723853549
31230000,เฉลิมพระเกียรติ,Chaloem Phra Kiet,นครศรีธรรมราช,Nakhon Si Thammarat,8.17707587034646,100.0357981268808
