,site1,site2,value
134,"('พระโขนง', 'กรุงเทพมหานคร')","('ประเวศ', 'กรุงเทพมหานคร')",1
135,"('พระโขนง', 'กรุงเทพมหานคร')","('สวนหลวง', 'กรุงเทพมหานคร')",1
136,"('พระโขนง', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
137,"('พระโขนง', 'กรุงเทพมหานคร')","('บางนา', 'กรุงเทพมหานคร')",1
138,"('พระโขนง', 'กรุงเทพมหานคร')","('เมืองสมุทรปราการ', 'สมุทรปราการ')",1
139,"('พระโขนง', 'กรุงเทพมหานคร')","('บางพลี', 'สมุทรปราการ')",1
140,"('พระโขนง', 'กรุงเทพมหานคร')","('พระประแดง', 'สมุทรปราการ')",1
141,"('บางกะปิ', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
142,"('บางกะปิ', 'กรุงเทพมหานคร')","('บางกะปิ', 'กรุงเทพมหานคร')",1
143,"('บางกะปิ', 'กรุงเทพมหานคร')","('มีนบุรี', 'กรุงเทพมหานคร')",1
144,"('บางกะปิ', 'กรุงเทพมหานคร')","('ห้วยขวาง', 'กรุงเทพมหานคร')",1
145,"('บางกะปิ', 'กรุงเทพมหานคร')","('บึงกุ่ม', 'กรุงเทพมหานคร')",1
146,"('บางกะปิ', 'กรุงเทพมหานคร')","('จตุจักร', 'กรุงเทพมหานคร')",1
147,"('บางกะปิ', 'กรุงเทพมหานคร')","('ประเวศ', 'กรุงเทพมหานคร')",1
148,"('บางกะปิ', 'กรุงเทพมหานคร')","('สวนหลวง', 'กรุงเทพมหานคร')",1
149,"('บางกะปิ', 'กรุงเทพมหานคร')","('ลาดพร้าว', 'กรุงเทพมหานคร')",1
150,"('บางกะปิ', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
151,"('บางกะปิ', 'กรุงเทพมหานคร')","('คันนายาว', 'กรุงเทพมหานคร')",1
152,"('บางกะปิ', 'กรุงเทพมหานคร')","('สะพานสูง', 'กรุงเทพมหานคร')",1
153,"('บางกะปิ', 'กรุงเทพมหานคร')","('วังทองหลาง', 'กรุงเทพมหานคร')",1
154,"('บางกะปิ', 'กรุงเทพมหานคร')","('คลองสามวา', 'กรุงเทพมหานคร')",1
155,"('บางกะปิ', 'กรุงเทพมหานคร')","('บางพลี', 'สมุทรปราการ')",1
156,"('ปทุมวัน', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
157,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
158,"('ปทุมวัน', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
159,"('ปทุมวัน', 'กรุงเทพมหานคร')","('พญาไท', 'กรุงเทพมหานคร')",1
160,"('ปทุมวัน', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
161,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
162,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
163,"('ปทุมวัน', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
164,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
165,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
166,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ห้วยขวาง', 'กรุงเทพมหานคร')",1
167,"('ปทุมวัน', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
168,"('ปทุมวัน', 'กรุงเทพมหานคร')","('บางพลัด', 'กรุงเทพมหานคร')",1
169,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ดินแดง', 'กรุงเทพมหานคร')",1
170,"('ปทุมวัน', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
171,"('ปทุมวัน', 'กรุงเทพมหานคร')","('บางคอแหลม', 'กรุงเทพมหานคร')",1
172,"('ปทุมวัน', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
173,"('ปทุมวัน', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
174,"('ปทุมวัน', 'กรุงเทพมหานคร')","('พระประแดง', 'สมุทรปราการ')",1
175,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
176,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
177,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
178,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('พญาไท', 'กรุงเทพมหานคร')",1
179,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
180,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
181,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
182,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
183,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
184,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('บางกอกใหญ่', 'กรุงเทพมหานคร')",1
185,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
186,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('บางกอกน้อย', 'กรุงเทพมหานคร')",1
187,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('บางพลัด', 'กรุงเทพมหานคร')",1
