,Origin,Destination,Distance
830,"('Tha Maka', 'Kanchanaburi')","('Photharam', 'Ratchaburi')",34.3 km
831,"('Tha Maka', 'Kanchanaburi')","('Tha Muang', 'Kanchanaburi')",19.2 km
832,"('Tha Maka', 'Kanchanaburi')","('Phanom Thuan', 'Kanchanaburi')",31.5 km
833,"('Tha Muang', 'Kanchanaburi')","('Chom Bueng', 'Ratchaburi')",49.0 km
834,"('Tha Muang', 'Kanchanaburi')","('Ban Pong', 'Ratchaburi')",37.7 km
835,"('Tha Muang', 'Kanchanaburi')","('Photharam', 'Ratchaburi')",51.7 km
836,"('Tha Muang', 'Kanchanaburi')","('Mueang Kanchanaburi', 'Kanchanaburi')",13.0 km
837,"('Tha Muang', 'Kanchanaburi')","('Bo Phloi', 'Kanchanaburi')",49.9 km
838,"('Tha Muang', 'Kanchanaburi')","('Tha Maka', 'Kanchanaburi')",19.5 km
839,"('Tha Muang', 'Kanchanaburi')","('Phanom Thuan', 'Kanchanaburi')",23.7 km
840,"('Tha Muang', 'Kanchanaburi')","('Dan Makham Tia', 'Kanchanaburi')",39.1 km
841,"('Thong Pha Phum', 'Kanchanaburi')","('Ban Rai', 'Uthai Thani')",267 km
842,"('Thong Pha Phum', 'Kanchanaburi')","('Um Phang', 'Tak')",792 km
843,"('Thong Pha Phum', 'Kanchanaburi')","('Sai Yok', 'Kanchanaburi')",103 km
844,"('Thong Pha Phum', 'Kanchanaburi')","('Si Sawat', 'Kanchanaburi')",188 km
845,"('Thong Pha Phum', 'Kanchanaburi')","('Sangkhla Buri', 'Kanchanaburi')",75.5 km
846,"('Sangkhla Buri', 'Kanchanaburi')","('Um Phang', 'Tak')",418 km
847,"('Sangkhla Buri', 'Kanchanaburi')","('Thong Pha Phum', 'Kanchanaburi')",75.6 km
848,"('Phanom Thuan', 'Kanchanaburi')","('Song Phi Nong', 'Suphan Buri')",42.6 km
849,"('Phanom Thuan', 'Kanchanaburi')","('U Thong', 'Suphan Buri')",36.1 km
850,"('Phanom Thuan', 'Kanchanaburi')","('Kamphaeng Saen', 'Nakhon Pathom')",39.9 km
851,"('Phanom Thuan', 'Kanchanaburi')","('Mueang Kanchanaburi', 'Kanchanaburi')",26.2 km
852,"('Phanom Thuan', 'Kanchanaburi')","('Bo Phloi', 'Kanchanaburi')",37.1 km
853,"('Phanom Thuan', 'Kanchanaburi')","('Tha Maka', 'Kanchanaburi')",28.7 km
854,"('Phanom Thuan', 'Kanchanaburi')","('Tha Muang', 'Kanchanaburi')",22.7 km
855,"('Phanom Thuan', 'Kanchanaburi')","('Huai Krachao', 'Kanchanaburi')",33.6 km
856,"('Lao Khwan', 'Kanchanaburi')","('Dan Chang', 'Suphan Buri')",35.0 km
857,"('Lao Khwan', 'Kanchanaburi')","('Don Chedi', 'Suphan Buri')",34.6 km
858,"('Lao Khwan', 'Kanchanaburi')","('U Thong', 'Suphan Buri')",33.3 km
859,"('Lao Khwan', 'Kanchanaburi')","('Nong Ya Sai', 'Suphan Buri')",33.2 km
860,"('Lao Khwan', 'Kanchanaburi')","('Bo Phloi', 'Kanchanaburi')",60.7 km
861,"('Lao Khwan', 'Kanchanaburi')","('Nong Prue', 'Kanchanaburi')",40.8 km
862,"('Lao Khwan', 'Kanchanaburi')","('Huai Krachao', 'Kanchanaburi')",43.1 km
863,"('Dan Makham Tia', 'Kanchanaburi')","('Chom Bueng', 'Ratchaburi')",41.6 km
864,"('Dan Makham Tia', 'Kanchanaburi')","('Suan Phueng', 'Ratchaburi')",45.7 km
865,"('Dan Makham Tia', 'Kanchanaburi')","('Mueang Kanchanaburi', 'Kanchanaburi')",29.6 km
866,"('Dan Makham Tia', 'Kanchanaburi')","('Sai Yok', 'Kanchanaburi')",51.2 km
867,"('Dan Makham Tia', 'Kanchanaburi')","('Tha Muang', 'Kanchanaburi')",37.8 km
868,"('Nong Prue', 'Kanchanaburi')","('Dan Chang', 'Suphan Buri')",48.6 km
869,"('Nong Prue', 'Kanchanaburi')","('Bo Phloi', 'Kanchanaburi')",38.1 km
870,"('Nong Prue', 'Kanchanaburi')","('Si Sawat', 'Kanchanaburi')",94.7 km
871,"('Nong Prue', 'Kanchanaburi')","('Lao Khwan', 'Kanchanaburi')",40.8 km
872,"('Huai Krachao', 'Kanchanaburi')","('Song Phi Nong', 'Suphan Buri')",55.6 km
873,"('Huai Krachao', 'Kanchanaburi')","('U Thong', 'Suphan Buri')",27.0 km
874,"('Huai Krachao', 'Kanchanaburi')","('Bo Phloi', 'Kanchanaburi')",17.9 km
875,"('Huai Krachao', 'Kanchanaburi')","('Phanom Thuan', 'Kanchanaburi')",34.1 km
876,"('Huai Krachao', 'Kanchanaburi')","('Lao Khwan', 'Kanchanaburi')",43.3 km
877,"('Mueang Saphan Buri', 'Suphan Buri')","('Phak Hai', 'Phra Nakhon Si Ayutthaya')",30.1 km
878,"('Mueang Saphan Buri', 'Suphan Buri')","('Wiset Chai Chan', 'Ang Thong')",32.5 km
879,"('Mueang Saphan Buri', 'Suphan Buri')","('Samko', 'Ang Thong')",23.7 km
880,"('Mueang Saphan Buri', 'Suphan Buri')","('Bang Pla Ma', 'Suphan Buri')",13.3 km
881,"('Mueang Saphan Buri', 'Suphan Buri')","('Si Prachan', 'Suphan Buri')",18.6 km
882,"('Mueang Saphan Buri', 'Suphan Buri')","('Don Chedi', 'Suphan Buri')",32.3 km
883,"('Mueang Saphan Buri', 'Suphan Buri')","('Song Phi Nong', 'Suphan Buri')",36.3 km
884,"('Mueang Saphan Buri', 'Suphan Buri')","('U Thong', 'Suphan Buri')",33.2 km
885,"('Doem Bang Nang Buat', 'Suphan Buri')","('Pho Thong', 'Ang Thong')",45.4 km
886,"('Doem Bang Nang Buat', 'Suphan Buri')","('Sawaeng Ha', 'Ang Thong')",31.7 km
887,"('Doem Bang Nang Buat', 'Suphan Buri')","('Khai Bang Rachan', 'Sing Buri')",37.1 km
888,"('Doem Bang Nang Buat', 'Suphan Buri')","('Sankhaburi', 'Chai Nat')",27.1 km
889,"('Doem Bang Nang Buat', 'Suphan Buri')","('Hankha', 'Chai Nat')",20.6 km
890,"('Doem Bang Nang Buat', 'Suphan Buri')","('Noen Kham', 'Chai Nat')",31.9 km
891,"('Doem Bang Nang Buat', 'Suphan Buri')","('Bang Rachan', 'Sing Buri')",32.9 km
892,"('Doem Bang Nang Buat', 'Suphan Buri')","('Ban Rai', 'Uthai Thani')",84.8 km
893,"('Doem Bang Nang Buat', 'Suphan Buri')","('Dan Chang', 'Suphan Buri')",48.5 km
894,"('Doem Bang Nang Buat', 'Suphan Buri')","('Si Prachan', 'Suphan Buri')",32.1 km
895,"('Doem Bang Nang Buat', 'Suphan Buri')","('Sam Chuk', 'Suphan Buri')",14.8 km
896,"('Doem Bang Nang Buat', 'Suphan Buri')","('Nong Ya Sai', 'Suphan Buri')",32.1 km
897,"('Dan Chang', 'Suphan Buri')","('Noen Kham', 'Chai Nat')",39.7 km
898,"('Dan Chang', 'Suphan Buri')","('Ban Rai', 'Uthai Thani')",40.7 km
899,"('Dan Chang', 'Suphan Buri')","('Doem Bang Nang Buat', 'Suphan Buri')",49.1 km
900,"('Dan Chang', 'Suphan Buri')","('Nong Ya Sai', 'Suphan Buri')",29.9 km
901,"('Dan Chang', 'Suphan Buri')","('Si Sawat', 'Kanchanaburi')",127 km
902,"('Dan Chang', 'Suphan Buri')","('Lao Khwan', 'Kanchanaburi')",35.0 km
903,"('Dan Chang', 'Suphan Buri')","('Nong Prue', 'Kanchanaburi')",48.6 km
904,"('Bang Pla Ma', 'Suphan Buri')","('Phak Hai', 'Phra Nakhon Si Ayutthaya')",33.4 km
905,"('Bang Pla Ma', 'Suphan Buri')","('Lat Bua Luang', 'Phra Nakhon Si Ayutthaya')",34.5 km
906,"('Bang Pla Ma', 'Suphan Buri')","('Sena', 'Phra Nakhon Si Ayutthaya')",35.0 km
907,"('Bang Pla Ma', 'Suphan Buri')","('Bang Sai', 'Phra Nakhon Si Ayutthaya')",23.8 km
908,"('Bang Pla Ma', 'Suphan Buri')","('Mueang Saphan Buri', 'Suphan Buri')",10.3 km
909,"('Bang Pla Ma', 'Suphan Buri')","('Song Phi Nong', 'Suphan Buri')",31.4 km
910,"('Bang Pla Ma', 'Suphan Buri')","('U Thong', 'Suphan Buri')",37.3 km
911,"('Si Prachan', 'Suphan Buri')","('Pho Thong', 'Ang Thong')",34.7 km
912,"('Si Prachan', 'Suphan Buri')","('Sawaeng Ha', 'Ang Thong')",28.1 km
913,"('Si Prachan', 'Suphan Buri')","('Wiset Chai Chan', 'Ang Thong')",27.6 km
914,"('Si Prachan', 'Suphan Buri')","('Samko', 'Ang Thong')",13.9 km
915,"('Si Prachan', 'Suphan Buri')","('Khai Bang Rachan', 'Sing Buri')",47.4 km
916,"('Si Prachan', 'Suphan Buri')","('Mueang Saphan Buri', 'Suphan Buri')",21.2 km
917,"('Si Prachan', 'Suphan Buri')","('Doem Bang Nang Buat', 'Suphan Buri')",33.1 km
918,"('Si Prachan', 'Suphan Buri')","('Don Chedi', 'Suphan Buri')",15.8 km
919,"('Si Prachan', 'Suphan Buri')","('Sam Chuk', 'Suphan Buri')",18.5 km
920,"('Don Chedi', 'Suphan Buri')","('Mueang Saphan Buri', 'Suphan Buri')",32.0 km
921,"('Don Chedi', 'Suphan Buri')","('Si Prachan', 'Suphan Buri')",15.6 km
922,"('Don Chedi', 'Suphan Buri')","('Sam Chuk', 'Suphan Buri')",19.9 km
923,"('Don Chedi', 'Suphan Buri')","('U Thong', 'Suphan Buri')",38.9 km
924,"('Don Chedi', 'Suphan Buri')","('Nong Ya Sai', 'Suphan Buri')",24.2 km
925,"('Don Chedi', 'Suphan Buri')","('Lao Khwan', 'Kanchanaburi')",35.5 km
926,"('Song Phi Nong', 'Suphan Buri')","('Lat Bua Luang', 'Phra Nakhon Si Ayutthaya')",35.4 km
927,"('Song Phi Nong', 'Suphan Buri')","('Bang Sai', 'Phra Nakhon Si Ayutthaya')",54.1 km
928,"('Song Phi Nong', 'Suphan Buri')","('Mueang Saphan Buri', 'Suphan Buri')",36.7 km
929,"('Song Phi Nong', 'Suphan Buri')","('Bang Pla Ma', 'Suphan Buri')",31.2 km
930,"('Song Phi Nong', 'Suphan Buri')","('U Thong', 'Suphan Buri')",39.8 km
931,"('Song Phi Nong', 'Suphan Buri')","('Kamphaeng Saen', 'Nakhon Pathom')",32.2 km
932,"('Song Phi Nong', 'Suphan Buri')","('Bang Len', 'Nakhon Pathom')",32.4 km
933,"('Song Phi Nong', 'Suphan Buri')","('Tha Maka', 'Kanchanaburi')",51.8 km
934,"('Song Phi Nong', 'Suphan Buri')","('Phanom Thuan', 'Kanchanaburi')",44.4 km
935,"('Song Phi Nong', 'Suphan Buri')","('Huai Krachao', 'Kanchanaburi')",56.8 km
936,"('Sam Chuk', 'Suphan Buri')","('Pho Thong', 'Ang Thong')",47.6 km
937,"('Sam Chuk', 'Suphan Buri')","('Sawaeng Ha', 'Ang Thong')",33.9 km
938,"('Sam Chuk', 'Suphan Buri')","('Khai Bang Rachan', 'Sing Buri')",39.3 km
939,"('Sam Chuk', 'Suphan Buri')","('Doem Bang Nang Buat', 'Suphan Buri')",15.0 km
940,"('Sam Chuk', 'Suphan Buri')","('Si Prachan', 'Suphan Buri')",18.8 km
941,"('Sam Chuk', 'Suphan Buri')","('Don Chedi', 'Suphan Buri')",19.7 km
942,"('Sam Chuk', 'Suphan Buri')","('Nong Ya Sai', 'Suphan Buri')",20.9 km
943,"('U Thong', 'Suphan Buri')","('Mueang Saphan Buri', 'Suphan Buri')",32.2 km
944,"('U Thong', 'Suphan Buri')","('Bang Pla Ma', 'Suphan Buri')",36.8 km
945,"('U Thong', 'Suphan Buri')","('Don Chedi', 'Suphan Buri')",37.6 km
946,"('U Thong', 'Suphan Buri')","('Song Phi Nong', 'Suphan Buri')",38.8 km
947,"('U Thong', 'Suphan Buri')","('Phanom Thuan', 'Kanchanaburi')",37.0 km
948,"('U Thong', 'Suphan Buri')","('Lao Khwan', 'Kanchanaburi')",32.5 km
949,"('U Thong', 'Suphan Buri')","('Huai Krachao', 'Kanchanaburi')",27.4 km
950,"('Nong Ya Sai', 'Suphan Buri')","('Doem Bang Nang Buat', 'Suphan Buri')",34.7 km
951,"('Nong Ya Sai', 'Suphan Buri')","('Dan Chang', 'Suphan Buri')",29.5 km
952,"('Nong Ya Sai', 'Suphan Buri')","('Don Chedi', 'Suphan Buri')",24.0 km
953,"('Nong Ya Sai', 'Suphan Buri')","('Sam Chuk', 'Suphan Buri')",21.0 km
954,"('Nong Ya Sai', 'Suphan Buri')","('Lao Khwan', 'Kanchanaburi')",32.8 km
955,"('Ban Sang', 'Prachin Buri')","('Ongkharak', 'Nakhon Nayok')",38.9 km
956,"('Ban Sang', 'Prachin Buri')","('Mueang Nakhon Nayok', 'Nakhon Nayok')",28.7 km
957,"('Ban Sang', 'Prachin Buri')","('Pak Phli', 'Nakhon Nayok')",26.3 km
958,"('Ban Sang', 'Prachin Buri')","('Bang Khla', 'Chachoengsao')",34.7 km
959,"('Ban Sang', 'Prachin Buri')","('Bang Nam Priao', 'Chachoengsao')",29.4 km
960,"('Ban Sang', 'Prachin Buri')","('Phanom Sarakham', 'Chachoengsao')",33.1 km
961,"('Ban Sang', 'Prachin Buri')","('Ratchasan', 'Chachoengsao')",29.0 km
962,"('Ban Sang', 'Prachin Buri')","('Si Maha Phot', 'Prachin Buri')",45.0 km
963,"('Ban Sang', 'Prachin Buri')","('Khlong Khuean', 'Chachoengsao')",29.5 km
964,"('Ban Sang', 'Prachin Buri')","('Mueang Prachin Buri', 'Prachin Buri')",23.0 km
965,"('Ban Sang', 'Prachin Buri')","('Si Mahosot', 'Prachin Buri')",28.9 km
966,"('Prachantakham', 'Prachin Buri')","('Mueang Nakhon Nayok', 'Nakhon Nayok')",39.7 km
967,"('Prachantakham', 'Prachin Buri')","('Pak Phli', 'Nakhon Nayok')",34.3 km
968,"('Prachantakham', 'Prachin Buri')","('Si Maha Phot', 'Prachin Buri')",17.5 km
969,"('Prachantakham', 'Prachin Buri')","('Mueang Prachin Buri', 'Prachin Buri')",19.6 km
970,"('Prachantakham', 'Prachin Buri')","('Kabin Buri', 'Prachin Buri')",37.2 km
971,"('Prachantakham', 'Prachin Buri')","('Na Di', 'Prachin Buri')",36.9 km
972,"('Prachantakham', 'Prachin Buri')","('Pak Chong', 'Nakhon Ratchasima')",103 km
973,"('Prachantakham', 'Prachin Buri')","('Wang Nam Khiao', 'Nakhon Ratchasima')",94.8 km
974,"('Si Maha Phot', 'Prachin Buri')","('Phanom Sarakham', 'Chachoengsao')",38.0 km
975,"('Si Maha Phot', 'Prachin Buri')","('Sanam Chai Khet', 'Chachoengsao')",46.3 km
976,"('Si Maha Phot', 'Prachin Buri')","('Ban Sang', 'Prachin Buri')",41.9 km
977,"('Si Maha Phot', 'Prachin Buri')","('Prachantakham', 'Prachin Buri')",12.3 km
978,"('Si Maha Phot', 'Prachin Buri')","('Mueang Prachin Buri', 'Prachin Buri')",21.6 km
979,"('Si Maha Phot', 'Prachin Buri')","('Kabin Buri', 'Prachin Buri')",30.7 km
980,"('Si Maha Phot', 'Prachin Buri')","('Si Mahosot', 'Prachin Buri')",17.6 km
981,"('Mueang Prachin Buri', 'Prachin Buri')","('Mueang Nakhon Nayok', 'Nakhon Nayok')",25.4 km
982,"('Mueang Prachin Buri', 'Prachin Buri')","('Pak Phli', 'Nakhon Nayok')",20.1 km
983,"('Mueang Prachin Buri', 'Prachin Buri')","('Ban Sang', 'Prachin Buri')",25.2 km
984,"('Mueang Prachin Buri', 'Prachin Buri')","('Prachantakham', 'Prachin Buri')",19.8 km
985,"('Mueang Prachin Buri', 'Prachin Buri')","('Si Maha Phot', 'Prachin Buri')",23.9 km
986,"('Mueang Prachin Buri', 'Prachin Buri')","('Si Mahosot', 'Prachin Buri')",22.2 km
987,"('Kabin Buri', 'Prachin Buri')","('Mueang Sa Kaeo', 'Sa Kaeo')",50.1 km
988,"('Kabin Buri', 'Prachin Buri')","('Khao Chakan', 'Sa Kaeo')",72.4 km
989,"('Kabin Buri', 'Prachin Buri')","('Sanam Chai Khet', 'Chachoengsao')",52.3 km
990,"('Kabin Buri', 'Prachin Buri')","('Prachantakham', 'Prachin Buri')",35.9 km
991,"('Kabin Buri', 'Prachin Buri')","('Si Maha Phot', 'Prachin Buri')",29.6 km
992,"('Kabin Buri', 'Prachin Buri')","('Na Di', 'Prachin Buri')",28.6 km
993,"('Na Di', 'Prachin Buri')","('Mueang Sa Kaeo', 'Sa Kaeo')",60.3 km
994,"('Na Di', 'Prachin Buri')","('Prachantakham', 'Prachin Buri')",39.1 km
995,"('Na Di', 'Prachin Buri')","('Kabin Buri', 'Prachin Buri')",27.0 km
996,"('Na Di', 'Prachin Buri')","('Khon Buri', 'Nakhon Ratchasima')",115 km
997,"('Na Di', 'Prachin Buri')","('Pak Chong', 'Nakhon Ratchasima')",131 km
998,"('Na Di', 'Prachin Buri')","('Wang Nam Khiao', 'Nakhon Ratchasima')",54.8 km
999,"('Si Mahosot', 'Prachin Buri')","('Phanom Sarakham', 'Chachoengsao')",23.5 km
1000,"('Si Mahosot', 'Prachin Buri')","('Ratchasan', 'Chachoengsao')",23.6 km
1001,"('Si Mahosot', 'Prachin Buri')","('Ban Sang', 'Prachin Buri')",28.9 km
1002,"('Si Mahosot', 'Prachin Buri')","('Si Maha Phot', 'Prachin Buri')",16.8 km
1003,"('Si Mahosot', 'Prachin Buri')","('Mueang Prachin Buri', 'Prachin Buri')",22.0 km
1004,"('Mueang Surat Thani', 'Surat Thani')","('Kanchanadit', 'Surat Thani')",18.4 km
1005,"('Mueang Surat Thani', 'Surat Thani')","('Tha Chang', 'Surat Thani')",26.6 km
1006,"('Mueang Surat Thani', 'Surat Thani')","('Ban Na San', 'Surat Thani')",42.5 km
1007,"('Mueang Surat Thani', 'Surat Thani')","('Phunphin', 'Surat Thani')",13.7 km
1008,"('Mueang Surat Thani', 'Surat Thani')","('Ban Na Doem', 'Surat Thani')",38.9 km
1009,"('Kanchanadit', 'Surat Thani')","('Sichon', 'Nakhon Si Thammarat')",58.9 km
1010,"('Kanchanadit', 'Surat Thani')","('Khanom', 'Nakhon Si Thammarat')",56.0 km
1011,"('Kanchanadit', 'Surat Thani')","('Nopphitam', 'Nakhon Si Thammarat')",103 km
1012,"('Kanchanadit', 'Surat Thani')","('Mueang Surat Thani', 'Surat Thani')",18.5 km
1013,"('Kanchanadit', 'Surat Thani')","('Don Sak', 'Surat Thani')",46.1 km
1014,"('Kanchanadit', 'Surat Thani')","('Ban Na San', 'Surat Thani')",52.6 km
1015,"('Don Sak', 'Surat Thani')","('Sichon', 'Nakhon Si Thammarat')",58.0 km
1016,"('Don Sak', 'Surat Thani')","('Khanom', 'Nakhon Si Thammarat')",29.9 km
1017,"('Don Sak', 'Surat Thani')","('Kanchanadit', 'Surat Thani')",46.2 km
1018,"('Don Sak', 'Surat Thani')","('Ko Samui', 'Surat Thani')",39.8 km
1019,"('Ko Samui', 'Surat Thani')","('Khanom', 'Nakhon Si Thammarat')",59.4 km
1020,"('Ko Samui', 'Surat Thani')","('Don Sak', 'Surat Thani')",40.5 km
1021,"('Chaiya', 'Surat Thani')","('Tha Chana', 'Surat Thani')",25.9 km
1022,"('Chaiya', 'Surat Thani')","('Tha Chang', 'Surat Thani')",13.5 km
1023,"('Tha Chana', 'Surat Thani')","('Chaiya', 'Surat Thani')",24.8 km
1024,"('Tha Chana', 'Surat Thani')","('Tha Chang', 'Surat Thani')",36.5 km
1025,"('Tha Chana', 'Surat Thani')","('Lamae', 'Chumphon')",27.4 km
1026,"('Tha Chana', 'Surat Thani')","('Phato', 'Chumphon')",96.1 km
1027,"('Tha Chana', 'Surat Thani')","('Papoe', 'Ranong')",147 km
1028,"('Khiri Rat Nikhom', 'Surat Thani')","('Ban Ta Khun', 'Surat Thani')",21.4 km
1029,"('Khiri Rat Nikhom', 'Surat Thani')","('Phanom', 'Surat Thani')",33.1 km
1030,"('Khiri Rat Nikhom', 'Surat Thani')","('Phunphin', 'Surat Thani')",38.7 km
1031,"('Khiri Rat Nikhom', 'Surat Thani')","('Khian Sa', 'Surat Thani')",53.5 km
1032,"('Khiri Rat Nikhom', 'Surat Thani')","('Chai Buri', 'Surat Thani')",27.9 km
1033,"('Ban Ta Khun', 'Surat Thani')","('Khura Buri', 'Phang Nga')",138 km
1034,"('Ban Ta Khun', 'Surat Thani')","('Khiri Rat Nikhom', 'Surat Thani')",20.7 km
1035,"('Ban Ta Khun', 'Surat Thani')","('Phanom', 'Surat Thani')",13.2 km
1036,"('Ban Ta Khun', 'Surat Thani')","('Tha Chang', 'Surat Thani')",69.8 km
1037,"('Ban Ta Khun', 'Surat Thani')","('Chai Buri', 'Surat Thani')",47.3 km
1038,"('Ban Ta Khun', 'Surat Thani')","('Suk Samran', 'Ranong')",160 km
1039,"('Phanom', 'Surat Thani')","('Plai Phraya', 'Krabi')",60.2 km
1040,"('Phanom', 'Surat Thani')","('Mueang Phang-nga', 'Phang Nga')",69.6 km
1041,"('Phanom', 'Surat Thani')","('Kapong', 'Phang Nga')",75.7 km
1042,"('Phanom', 'Surat Thani')","('Takua Pa', 'Phang Nga')",78.9 km
1043,"('Phanom', 'Surat Thani')","('Khura Buri', 'Phang Nga')",125 km
1044,"('Phanom', 'Surat Thani')","('Thap Put', 'Phang Nga')",46.4 km
1045,"('Phanom', 'Surat Thani')","('Khiri Rat Nikhom', 'Surat Thani')",32.6 km
1046,"('Phanom', 'Surat Thani')","('Ban Ta Khun', 'Surat Thani')",12.2 km
1047,"('Phanom', 'Surat Thani')","('Phrasaeng', 'Surat Thani')",89.6 km
1048,"('Phanom', 'Surat Thani')","('Khian Sa', 'Surat Thani')",65.7 km
1049,"('Tha Chang', 'Surat Thani')","('Mueang Surat Thani', 'Surat Thani')",26.6 km
1050,"('Tha Chang', 'Surat Thani')","('Chaiya', 'Surat Thani')",13.5 km
1051,"('Tha Chang', 'Surat Thani')","('Tha Chana', 'Surat Thani')",37.5 km
1052,"('Tha Chang', 'Surat Thani')","('Ban Ta Khun', 'Surat Thani')",69.8 km
1053,"('Tha Chang', 'Surat Thani')","('Phunphin', 'Surat Thani')",25.5 km
1054,"('Tha Chang', 'Surat Thani')","('Chai Buri', 'Surat Thani')",33.3 km
1055,"('Tha Chang', 'Surat Thani')","('Papoe', 'Ranong')",178 km
1056,"('Tha Chang', 'Surat Thani')","('Suk Samran', 'Ranong')",220 km
1057,"('Ban Na San', 'Surat Thani')","('Chawang', 'Nakhon Si Thammarat')",53.5 km
1058,"('Ban Na San', 'Surat Thani')","('Phipun', 'Nakhon Si Thammarat')",53.9 km
1059,"('Ban Na San', 'Surat Thani')","('Nopphitam', 'Nakhon Si Thammarat')",150 km
1060,"('Ban Na San', 'Surat Thani')","('Mueang Surat Thani', 'Surat Thani')",43.1 km
1061,"('Ban Na San', 'Surat Thani')","('Kanchanadit', 'Surat Thani')",52.7 km
1062,"('Ban Na San', 'Surat Thani')","('Phunphin', 'Surat Thani')",59.7 km
1063,"('Ban Na San', 'Surat Thani')","('Ban Na Doem', 'Surat Thani')",12.8 km
1064,"('Ban Na San', 'Surat Thani')","('Khian Sa', 'Surat Thani')",33.0 km
1065,"('Ban Na San', 'Surat Thani')","('Wiang Sa', 'Surat Thani')",23.3 km
1066,"('Phrasaeng', 'Surat Thani')","('Thung Yai', 'Nakhon Si Thammarat')",46.4 km
1067,"('Phrasaeng', 'Surat Thani')","('Tham Phannara', 'Nakhon Si Thammarat')",35.3 km
1068,"('Phrasaeng', 'Surat Thani')","('Khao Phanom', 'Krabi')",52.1 km
1069,"('Phrasaeng', 'Surat Thani')","('Plai Phraya', 'Krabi')",54.2 km
1070,"('Phrasaeng', 'Surat Thani')","('Phanom', 'Surat Thani')",85.9 km
1071,"('Phrasaeng', 'Surat Thani')","('Khian Sa', 'Surat Thani')",35.9 km
1072,"('Phrasaeng', 'Surat Thani')","('Wiang Sa', 'Surat Thani')",16.8 km
1073,"('Phrasaeng', 'Surat Thani')","('Chai Buri', 'Surat Thani')",28.8 km
1074,"('Phunphin', 'Surat Thani')","('Mueang Surat Thani', 'Surat Thani')",13.9 km
1075,"('Phunphin', 'Surat Thani')","('Khiri Rat Nikhom', 'Surat Thani')",42.4 km
1076,"('Phunphin', 'Surat Thani')","('Tha Chang', 'Surat Thani')",27.9 km
1077,"('Phunphin', 'Surat Thani')","('Ban Na San', 'Surat Thani')",54.5 km
1078,"('Phunphin', 'Surat Thani')","('Ban Na Doem', 'Surat Thani')",38.0 km
1079,"('Phunphin', 'Surat Thani')","('Khian Sa', 'Surat Thani')",48.2 km
1080,"('Phunphin', 'Surat Thani')","('Chai Buri', 'Surat Thani')",40.9 km
1081,"('Ban Na Doem', 'Surat Thani')","('Mueang Surat Thani', 'Surat Thani')",40.9 km
1082,"('Ban Na Doem', 'Surat Thani')","('Ban Na San', 'Surat Thani')",12.8 km
1083,"('Ban Na Doem', 'Surat Thani')","('Phunphin', 'Surat Thani')",44.2 km
1084,"('Ban Na Doem', 'Surat Thani')","('Khian Sa', 'Surat Thani')",16.7 km
1085,"('Khian Sa', 'Surat Thani')","('Plai Phraya', 'Krabi')",61.4 km
1086,"('Khian Sa', 'Surat Thani')","('Khiri Rat Nikhom', 'Surat Thani')",49.4 km
1087,"('Khian Sa', 'Surat Thani')","('Phanom', 'Surat Thani')",64.5 km
1088,"('Khian Sa', 'Surat Thani')","('Ban Na San', 'Surat Thani')",32.6 km
1089,"('Khian Sa', 'Surat Thani')","('Phrasaeng', 'Surat Thani')",40.1 km
1090,"('Khian Sa', 'Surat Thani')","('Phunphin', 'Surat Thani')",51.6 km
1091,"('Khian Sa', 'Surat Thani')","('Ban Na Doem', 'Surat Thani')",17.7 km
1092,"('Khian Sa', 'Surat Thani')","('Wiang Sa', 'Surat Thani')",42.7 km
1093,"('Wiang Sa', 'Surat Thani')","('Chawang', 'Nakhon Si Thammarat')",41.2 km
1094,"('Wiang Sa', 'Surat Thani')","('Phipun', 'Nakhon Si Thammarat')",41.6 km
1095,"('Wiang Sa', 'Surat Thani')","('Thung Yai', 'Nakhon Si Thammarat')",49.2 km
1096,"('Wiang Sa', 'Surat Thani')","('Tham Phannara', 'Nakhon Si Thammarat')",29.1 km
1097,"('Wiang Sa', 'Surat Thani')","('Nopphitam', 'Nakhon Si Thammarat')",139 km
1098,"('Wiang Sa', 'Surat Thani')","('Ban Na San', 'Surat Thani')",23.1 km
1099,"('Wiang Sa', 'Surat Thani')","('Phrasaeng', 'Surat Thani')",23.4 km
1100,"('Wiang Sa', 'Surat Thani')","('Khian Sa', 'Surat Thani')",44.2 km
1101,"('Chai Buri', 'Surat Thani')","('Khao Phanom', 'Krabi')",23.9 km
1102,"('Chai Buri', 'Surat Thani')","('Ao Luek', 'Krabi')",65.5 km
1103,"('Chai Buri', 'Surat Thani')","('Plai Phraya', 'Krabi')",51.7 km
1104,"('Chai Buri', 'Surat Thani')","('Phrasaeng', 'Surat Thani')",32.7 km
1105,"('Chai Buri', 'Surat Thani')","('Khiri Rat Nikhom', 'Surat Thani')",27.9 km
1106,"('Chai Buri', 'Surat Thani')","('Ban Ta Khun', 'Surat Thani')",48.1 km
1107,"('Chai Buri', 'Surat Thani')","('Tha Chang', 'Surat Thani')",33.3 km
1108,"('Chai Buri', 'Surat Thani')","('Phunphin', 'Surat Thani')",41.2 km
1109,"('Chai Buri', 'Surat Thani')","('Suk Samran', 'Ranong')",207 km
1110,"('Mueang Uttaradit', 'Uttaradit')","('Den Chai', 'Phrae')",55.3 km
1111,"('Mueang Uttaradit', 'Uttaradit')","('Tron', 'Uttaradit')",18.4 km
