,Origin,Destination,Distance
560,Sakon Nakhon,Mukdahan,117 km
561,Nakhon Phanom,Bueng Kan,185 km
562,Nakhon Phanom,Sakon Nakhon,91.4 km
563,Nakhon Phanom,Mukdahan,107 km
564,Mukdahan,Yasothon,115 km
565,Mukdahan,Amnat Charoen,89.6 km
566,Mukdahan,Roi Et,153 km
567,Mukdahan,Kalasin,145 km
568,Mukdahan,Sakon Nakhon,117 km
569,Mukdahan,Nakhon Phanom,108 km
570,Chiang Mai,Lamphun,36.4 km
571,Chiang Mai,Lampang,107 km
572,Chiang Mai,Chiang Rai,194 km
573,Chiang Mai,Mae Hong Son,230 km
574,Chiang Mai,Tak,281 km
575,Lamphun,Chiang Mai,37.7 km
576,Lamphun,Lampang,74.8 km
577,Lamphun,Tak,248 km
578,Lampang,Chiang Mai,107 km
579,Lampang,Lamphun,75.3 km
580,Lampang,Phrae,102 km
581,Lampang,Phayao,137 km
582,Lampang,Chiang Rai,231 km
583,Lampang,Tak,183 km
584,Lampang,Sukhothai,210 km
585,Uttaradit,Phrae,75.3 km
586,Uttaradit,Nan,195 km
587,Uttaradit,Sukhothai,88.5 km
588,Uttaradit,Phitsanulok,110 km
589,Phrae,Lampang,103 km
590,Phrae,Uttaradit,75.5 km
591,Phrae,Nan,121 km
592,Phrae,Phayao,149 km
593,Phrae,Sukhothai,164 km
594,Nan,Uttaradit,195 km
595,Nan,Phrae,121 km
596,Nan,Phayao,147 km
597,Phayao,Lampang,137 km
598,Phayao,Phrae,149 km
599,Phayao,Nan,147 km
600,Phayao,Chiang Rai,94.8 km
601,Chiang Rai,Chiang Mai,194 km
602,Chiang Rai,Lampang,231 km
603,Chiang Rai,Phayao,94.4 km
604,Mae Hong Son,Chiang Mai,231 km
605,Mae Hong Son,Tak,476 km
606,Nakhon Sawan,Lopburi,131 km
607,Nakhon Sawan,Sing Buri,104 km
608,Nakhon Sawan,Chai Nat,63.4 km
609,Nakhon Sawan,Uthai Thani,44.4 km
610,Nakhon Sawan,Kamphaeng Phet,122 km
611,Nakhon Sawan,Tak,186 km
612,Nakhon Sawan,Phichit,109 km
613,Nakhon Sawan,Phetchabun,194 km
614,Uthai Thani,Chai Nat,29.1 km
615,Uthai Thani,Nakhon Sawan,44.5 km
616,Uthai Thani,Tak,221 km
617,Uthai Thani,Kanchanaburi,187 km
618,Uthai Thani,Suphan Buri,123 km
619,Kamphaeng Phet,Nakhon Sawan,123 km
620,Kamphaeng Phet,Tak,71.5 km
