,original,destination,distance
512,หนองบัวลำภู,เลย,102 km
513,ขอนแก่น,นครราชสีมา,194 km
514,ขอนแก่น,บุรีรัมย์,196 km
515,ขอนแก่น,ชัยภูมิ,126 km
516,ขอนแก่น,หนองบัวลำภู,113 km
517,ขอนแก่น,อุดรธานี,121 km
518,ขอนแก่น,เลย,208 km
519,ขอนแก่น,มหาสารคาม,77.7 km
520,ขอนแก่น,กาฬสินธุ์,82.4 km
521,ขอนแก่น,เพชรบูรณ์,235 km
522,อุดรธานี,หนองบัวลำภู,47.4 km
523,อุดรธานี,ขอนแก่น,120 km
524,อุดรธานี,เลย,148 km
525,อุดรธานี,หนองคาย,53.5 km
526,อุดรธานี,กาฬสินธุ์,165 km
527,อุดรธานี,สกลนคร,163 km
528,เลย,หนองบัวลำภู,102 km
529,เลย,ขอนแก่น,207 km
530,เลย,อุดรธานี,149 km
531,เลย,หนองคาย,182 km
532,เลย,พิษณุโลก,228 km
533,เลย,เพชรบูรณ์,190 km
534,หนองคาย,บึงกาฬ,137 km
535,หนองคาย,อุดรธานี,54.0 km
536,หนองคาย,เลย,181 km
537,หนองคาย,สกลนคร,216 km
538,มหาสารคาม,บุรีรัมย์,154 km
539,มหาสารคาม,สุรินทร์,173 km
540,มหาสารคาม,ขอนแก่น,68.9 km
541,มหาสารคาม,ร้อยเอ็ด,41.6 km
542,มหาสารคาม,กาฬสินธุ์,49.8 km
543,ร้อยเอ็ด,สุรินทร์,145 km
544,ร้อยเอ็ด,ศรีสะเกษ,146 km
545,ร้อยเอ็ด,ยโสธร,67.5 km
546,ร้อยเอ็ด,มหาสารคาม,41.3 km
547,ร้อยเอ็ด,กาฬสินธุ์,50.9 km
548,ร้อยเอ็ด,มุกดาหาร,153 km
549,กาฬสินธุ์,ขอนแก่น,83.6 km
550,กาฬสินธุ์,อุดรธานี,166 km
551,กาฬสินธุ์,มหาสารคาม,51.0 km
552,กาฬสินธุ์,ร้อยเอ็ด,52.0 km
553,กาฬสินธุ์,สกลนคร,125 km
554,กาฬสินธุ์,มุกดาหาร,143 km
555,สกลนคร,บึงกาฬ,184 km
556,สกลนคร,อุดรธานี,164 km
557,สกลนคร,หนองคาย,216 km
558,สกลนคร,กาฬสินธุ์,126 km
559,สกลนคร,นครพนม,91.8 km
560,สกลนคร,มุกดาหาร,117 km
561,นครพนม,บึงกาฬ,185 km
