amphoe_id,romanized_amphoe,thai_amphoe,province_id
364,Amphoe Ban Phaeng,อำเภอบ้านแพง,20
365,Amphoe Na Kae,อำเภอนาแก,20
366,Amphoe Na Thom,อำเภอนาทม,20
367,Amphoe Na Wa,อำเภอนาหว้า,20
368,Amphoe Phon Sawan,อำเภอโพนสวรรค์,20
369,Amphoe Pla Pak,อำเภอปลาปาก,20
370,Amphoe Renu Nakhon,อำเภอเรณูนคร,20
371,Amphoe Si Songkhram,อำเภอศรีสงคราม,20
372,Amphoe Tha Uthen,อำเภอท่าอุเทน,20
373,Amphoe That Phanom,อำเภอธาตุพนม,20
374,Amphoe Wang Yang,อำเภอวังยาง,20
375,Amphoe Mueang Nakhon Ratchasima,อำเภอเมืองนครราชสีมา,21
376,Amphoe Ban Lueam,อำเภอบ้านเหลื่อม,21
377,Amphoe Bua Lai,อำเภอบัวลาย,21
378,Amphoe Bua Yai,อำเภอบัวใหญ่,21
379,Amphoe Chakkarat,อำเภอจักราช,21
380,Amphoe Chaloem Phra Kiat,อำเภอเฉลิมพระเกียรติ,21
381,Amphoe Chok Chai,อำเภอโชคชัย,21
382,Amphoe Chum Phuang,อำเภอชุมพวง,21
383,Amphoe Dan Khun Thot,อำเภอด่านขุนทด,21
384,Amphoe Huai Thalaeng,อำเภอห้วยแถลง,21
385,Amphoe Kaeng Sanam Nang,อำเภอแก้งสนามนาง,21
386,Amphoe Kham Sakaesaeng,อำเภอขามสะแกแสง,21
387,Amphoe Kham Thale So,อำเภอขามทะเลสอ,21
388,Amphoe Khon Buri,อำเภอครบุรี,21
389,Amphoe Khong,อำเภอคง,21
390,Amphoe Lam Thamenchai,อำเภอลำทะเมนชัย,21
391,Amphoe Mueang Yang,อำเภอเมืองยาง,21
392,Amphoe Non Daeng,อำเภอโนนแดง,21
393,Amphoe Non Sung,อำเภอโนนสูง,21
394,Amphoe Non Thai,อำเภอโนนไทย,21
395,Amphoe Nong Bun Mak,อำเภอหนองบุญมาก,21
396,Amphoe Pak Chong,อำเภอปากช่อง,21
397,Amphoe Pak Thong Chai,อำเภอปักธงชัย,21
398,Amphoe Phimai,อำเภอพิมาย,21
399,Amphoe Prathai,อำเภอประทาย,21
400,Amphoe Phra Thong Kham,อำเภอพระทองคำ,21
401,Amphoe Sida,อำเภอสีดา,21
402,Amphoe Sikhio,อำเภอสีคิ้ว,21
403,Amphoe Soeng Sang,อำเภอเสิงสาง,21
404,Amphoe Sung Noen,อำเภอสูงเนิน,21
405,Amphoe Thepharak,อำเภอเทพารักษ์,21
406,Amphoe Wang Nam Khiao,อำเภอวังน้ำเขียว,21
407,Amphoe Mueang Nakhon Sawan,อำเภอเมืองนครสวรรค์,23
408,Amphoe Banphot Phisai,อำเภอบรรพตพิสัย,23
409,Amphoe Chum Saeng,อำเภอชุมแสง,24
410,Amphoe Chum Ta Bong,อำเภอชุมตาบง,25
411,Amphoe Kao Liao,อำเภอเก้าเลี้ยว,26
412,Amphoe Krok Phra,อำเภอโกรกพระ,27
413,Amphoe Lat Yao,อำเภอลาดยาว,28
414,Amphoe Mae Poen,อำเภอแม่เปิน,29
415,Amphoe Mae Wong,อำเภอแม่วงก์,30
416,Amphoe Nong Bua,อำเภอหนองบัว,31
417,Amphoe Phaisali,อำเภอไพศาลี,32
418,Amphoe Phayuha Khiri,อำเภอพยุหะคีรี,33
419,Amphoe Tak Fa,อำเภอตากฟ้า,34
420,Amphoe Takhli,อำเภอตาคลี,35
421,Amphoe Tha Tako,อำเภอท่าตะโก,36
422,Amphoe Mueang Nakhon Si Thammarat,อำเภอเมืองนครศรีธรรมราช,22
423,Amphoe Bang Khan,อำเภอบางขัน,22
424,Amphoe Chaloem Phra Kiat,อำเภอเฉลิมพระเกียรติ,22
425,Amphoe Cha-uat,อำเภอชะอวด,22
426,Amphoe Chang Klang,อำเภอช้างกลาง,22
427,Amphoe Chawang,อำเภอฉวาง,22
428,Amphoe Chian Yai,อำเภอเชียรใหญ่,22
429,Amphoe Chulabhorn,อำเภอจุฬาภรณ์,22
